Stn,Datum,Tg,qTg,Tn,qTn,Tx,qTx
2,59,10,97,81,9,49,77
59,52,26,3,35,29,76,97
0,36,39,2,90,78,95,91
73,36,50,72,36,4,35,49
25,62,81,27,51,53,24,17
51,25,28,44,51,40,64,25
76,66,64,39,25,57,16,68
27,68,14,68,21,19,89,95
62,69,7,76,55,12,55,9
49,74,4,94,98,4,33,90
33,24,30,89,91,67,49,71
43,22,53,57,3,55,100,20
36,41,57,91,34,67,61,26
42,0,84,3,22,88,57,20
0,2,64,13,12,9,90,43
20,81,37,35,41,55,82,99
71,4,34,17,45,11,67,54
12,38,6,73,59,20,36,15
50,18,60,60,41,76,42,16
65,35,69,58,60,46,4,40
35,4,9,14,70,2,59,86
37,85,41,56,60,82,95,68
25,3,79,14,36,26,19,65
7,93,54,96,67,5,28,4
97,71,99,70,8,81,51,71
71,38,38,11,55,61,58,14
36,27,69,60,70,56,55,9
46,96,88,13,49,53,77,60
25,26,32,43,63,12,81,29
18,73,61,57,57,13,15,84
90,38,56,79,76,5,18,35
83,83,26,81,33,15,76,3
51,6,54,90,19,98,64,76
20,47,33,100,2,56,69,68
62,76,53,11,4,27,62,20
68,38,50,40,8,56,53,41
24,90,47,57,27,83,36,44
37,52,97,32,63,23,97,96
39,39,53,56,37,22,33,3
65,97,4,21,27,35,37,94
78,12,62,54,35,58,45,68
66,56,100,79,19,43,10,19
69,40,53,81,54,49,1,70
38,87,79,84,23,7,38,52
24,97,78,59,97,58,81,18
24,84,100,96,10,76,61,12
76,65,60,86,11,96,90,77
59,51,21,63,45,44,63,91
11,98,35,96,92,67,61,82
3,13,39,38,56,51,20,93
62,59,12,12,43,51,14,79
52,59,25,20,99,5,65,14
87,3,69,18,76,16,29,93
82,68,20,51,83,50,91,15
86,99,83,90,64,21,5,61
20,27,65,73,66,66,74,76
76,65,53,92,64,64,68,64
97,52,56,59,91,34,5,81
80,58,76,59,68,86,56,38
51,76,46,70,98,97,43,19
35,19,25,31,3,49,72,87
53,30,42,82,58,89,54,9
7,80,17,45,25,10,39,69
47,9,39,18,17,57,47,5
45,66,89,28,6,76,34,10
88,4,66,51,23,35,52,25
7,91,91,34,4,3,10,100
7,25,68,35,100,43,56,60
14,7,18,78,79,44,61,53
46,19,74,1,99,52,61,36
15,24,53,22,78,51,31,95
37,94,21,98,96,12,16,45
68,31,77,65,22,32,28,23
58,89,25,0,47,25,77,56
51,74,72,96,30,97,57,9
39,2,65,72,9,39,43,50
22,55,67,46,10,41,91,29
8,94,28,13,40,39,100,65
19,58,25,80,75,34,17,84
25,79,55,9,3,61,38,49
67,76,35,22,36,8,75,7
93,37,66,4,94,5,45,2
40,14,28,94,27,17,30,56
67,90,91,96,74,53,70,18
6,71,41,2,49,74,42,24
7,67,93,39,23,77,63,1
26,0,57,100,30,8,21,87
68,8,88,26,80,57,70,92
13,79,54,24,57,48,45,44
71,54,84,41,39,74,89,40
18,56,28,0,24,86,83,11
77,33,67,42,11,32,69,48
87,8,2,76,5,66,8,6
92,59,28,78,23,91,76,39
22,10,4,69,15,77,34,86
66,8,48,80,18,43,85,96
8,86,68,80,92,5,30,48
35,79,87,69,64,42,20,79
53,49,0,27,89,50,68,90
15,48,38,9,51,25,97,42
72,93,83,42,69,46,84,60
67,42,2,28,76,89,23,60
54,18,48,70,98,70,30,16
69,41,60,58,66,88,23,70
56,64,86,61,19,63,57,33
81,22,63,76,55,76,97,15
93,91,6,35,83,64,52,36
42,33,89,77,95,30,87,76
59,93,97,87,47,69,99,83
86,62,17,68,15,0,64,8
49,79,79,89,82,48,0,23
1,18,21,76,61,52,81,39
4,94,78,50,26,68,70,32
47,77,53,29,56,3,11,10
77,10,22,27,60,62,32,32
43,83,33,3,23,53,86,47
42,2,67,61,91,44,48,11
38,53,16,41,43,12,53,52
56,79,87,63,11,24,54,70
3,1,41,52,32,41,53,65
84,90,89,21,25,90,26,24
38,90,4,37,91,18,23,50
46,91,94,47,40,50,35,55
93,44,48,29,56,61,37,46
73,6,84,2,37,8,71,84
32,25,4,99,26,73,23,29
90,88,94,73,69,45,32,83
52,87,64,71,98,29,32,4
35,95,89,51,25,32,63,30
7,15,5,15,10,46,22,17
45,99,45,91,91,7,80,8
81,50,95,71,66,51,9,50
72,62,69,28,2,58,14,69
33,7,30,63,67,67,37,78
63,50,13,46,27,93,53,94
12,71,92,100,69,77,52,5
30,13,22,25,24,74,3,41
14,43,28,93,63,32,68,26
20,53,1,80,89,68,8,70
39,36,86,82,7,11,36,16
1,100,16,50,1,73,72,39
46,52,59,15,60,39,23,44
37,8,80,37,80,61,11,6
29,76,65,60,35,55,75,56
55,6,27,60,51,45,19,62
71,20,31,6,27,50,43,64
8,17,61,56,21,98,77,17
11,54,64,11,52,5,76,78
23,65,85,30,89,8,66,42
48,94,7,25,17,63,91,71
77,61,65,37,1,50,31,72
37,79,38,98,50,62,25,54
11,38,72,94,24,95,58,64
14,50,64,18,16,32,46,42
25,55,35,35,84,99,21,34
100,21,54,6,61,9,20,73
23,5,15,20,80,3,20,66
91,74,93,70,34,71,52,30
43,6,54,19,98,72,10,46
42,91,40,22,91,64,19,88
2,24,12,54,3,38,33,3
16,50,74,77,29,41,51,64
56,6,92,45,82,5,58,100
69,73,2,7,29,8,60,37
6,16,96,7,90,0,27,40
80,51,84,75,53,8,68,25
19,82,0,100,74,33,3,41
96,60,67,52,90,6,62,11
29,40,17,51,37,13,32,88
3,70,92,46,96,34,63,67
58,10,54,10,64,95,22,97
13,63,46,31,77,86,26,67
26,51,88,91,66,47,34,60
10,40,2,17,79,35,90,99
48,82,90,80,47,51,56,26
66,58,23,42,10,49,21,17
88,19,33,17,93,100,35,35
9,76,68,55,69,98,45,90
3,19,72,91,16,69,87,28
35,90,31,59,65,78,83,16
48,83,95,82,10,41,17,25
4,76,43,18,69,41,55,95
75,59,61,13,58,94,13,98
50,67,24,1,90,55,75,64
9,0,36,71,69,34,7,31
17,94,64,93,44,79,86,46
44,62,28,8,69,93,82,18
13,38,76,17,35,53,3,14
16,44,43,85,94,73,80,51
56,93,40,36,7,88,60,83
23,74,43,87,55,68,27,9
76,80,20,90,73,28,58,7
7,9,0,94,14,68,74,91
38,35,91,19,23,50,98,96
46,57,16,21,61,24,99,29
97,61,30,8,34,0,54,20
38,61,80,96,21,5,27,54
98,35,75,49,6,51,9,61
86,87,41,18,2,87,57,25
100,81,93,4,50,68,76,35
3,33,52,18,83,57,18,45
3,31,8,65,7,50,72,73
54,18,39,65,27,20,29,67
3,99,64,50,11,98,52,32
76,58,81,17,65,90,30,68
2,16,32,43,58,98,21,62
85,59,54,25,87,89,71,1
76,72,84,99,40,10,73,19
60,23,34,14,71,43,94,46
97,66,78,83,80,43,29,67
1,78,57,9,29,16,15,78
66,42,68,8,23,64,15,54
78,34,67,49,31,88,56,83
67,83,61,96,58,79,99,54
100,86,43,94,65,61,57,55
43,10,95,80,7,43,39,83
65,10,1,10,97,63,95,66
52,44,76,63,43,68,47,29
61,15,94,76,60,47,33,6
27,87,83,90,92,10,21,36
86,9,91,32,15,3,60,33
61,94,91,34,5,63,72,63
46,50,20,31,29,21,95,68
79,94,85,69,38,50,17,31
73,26,33,87,11,63,94,9
66,51,57,10,10,46,92,64
34,5,23,47,28,23,97,27
20,75,0,38,57,41,95,42
5,75,91,7,81,39,93,11
17,29,8,62,49,65,73,18
48,78,13,61,53,41,31,17
91,78,9,55,48,73,5,12
99,55,73,22,46,37,93,50
84,47,65,16,46,33,45,56
66,80,74,14,24,63,73,13
81,43,62,24,78,72,73,46
27,84,24,69,77,3,77,43
23,19,60,77,77,52,60,50
80,48,32,7,53,85,92,53
54,94,34,79,48,67,54,80
0,96,91,58,9,6,48,44
69,8,31,74,98,85,32,91
16,80,2,69,35,36,55,52
93,96,48,44,89,3,75,19
41,85,10,90,27,32,85,7
59,4,33,91,55,55,40,69
11,27,59,91,39,14,68,87
76,44,47,3,9,89,33,96
45,14,80,68,75,71,15,49
35,42,67,55,23,49,2,49
9,45,58,84,19,84,58,16
14,17,13,39,76,1,66,8
68,6,67,27,58,57,31,35
78,37,91,82,36,74,26,72
18,44,73,75,79,34,4,55
75,75,63,86,64,48,93,2
69,94,66,71,61,67,67,13
28,7,72,70,82,71,17,66
12,92,54,45,52,47,11,74
55,50,77,14,23,17,49,41
27,51,5,28,95,62,41,7
73,64,41,58,82,20,75,10
79,76,33,9,60,88,71,27
35,48,34,61,63,35,54,41
92,32,38,8,47,45,13,87
59,54,36,29,65,47,71,72
78,41,92,59,80,12,94,32
28,8,52,84,52,78,30,97
99,40,47,46,20,40,44,19
78,86,32,91,78,35,55,47
32,69,61,92,87,75,84,81
71,8,28,24,47,31,30,63
48,32,91,45,78,21,22,81
3,95,94,93,20,86,28,11
30,7,9,4,64,53,67,89
88,76,65,87,47,45,65,99
84,91,66,79,55,19,66,88
18,22,30,10,75,67,59,10
21,82,75,80,93,43,68,68
52,94,61,44,83,44,75,15
54,50,86,91,61,89,65,64
27,47,22,82,72,43,1,44
86,92,80,7,53,9,48,74
76,34,64,58,6,85,50,46
74,51,61,28,17,53,28,52
13,63,64,57,16,97,71,57
9,18,18,67,81,54,82,67
79,0,65,7,31,17,70,52
81,33,71,96,81,26,3,8
93,74,36,18,93,53,37,100
84,2,4,37,13,62,17,85
19,55,44,95,4,31,80,90
15,19,26,23,1,82,57,73
99,8,58,56,70,80,22,35
43,27,75,62,17,3,64,92
3,94,94,22,79,0,58,52
1,95,25,62,100,72,73,28
32,47,14,76,42,50,72,30
16,77,3,38,28,67,38,1
81,75,31,34,100,44,41,97
53,78,52,52,92,15,5,26
76,16,70,25,29,42,42,9
90,74,79,53,17,71,42,87
13,91,18,17,59,25,83,45
17,47,66,60,45,50,1,76
72,75,88,73,71,48,82,50
13,68,31,13,26,98,44,76
80,85,26,68,66,93,91,20
62,18,45,65,100,52,21,35
57,85,45,34,24,96,49,28
81,56,63,26,24,38,30,85
15,70,43,43,59,76,59,87
84,78,93,51,89,53,96,79
82,14,37,68,41,45,34,94
100,58,12,41,49,2,77,29
68,26,82,83,99,1,43,57
31,4,43,51,39,27,81,86
36,9,73,18,52,52,34,82
54,50,100,76,76,55,51,44
96,50,49,19,2,51,55,5
84,57,91,20,74,37,91,12
71,82,32,71,38,47,68,11
42,66,42,17,37,12,87,76
45,67,63,71,67,54,44,49
39,92,24,98,3,80,98,30
32,97,21,98,32,1,39,64
78,83,10,11,96,88,74,80
54,95,77,85,59,47,49,81
16,38,47,36,61,13,96,0
100,92,18,71,77,75,3,67
64,2,33,60,47,4,50,31
33,67,21,73,33,49,87,14
32,80,37,87,63,36,36,99
88,20,90,87,46,91,58,43
15,68,12,88,75,27,77,37
81,55,57,60,7,33,50,1
78,14,38,94,21,92,6,51
47,83,11,0,63,25,51,95
94,54,36,61,78,97,61,24
62,53,51,67,96,88,17,75
19,71,65,67,16,14,79,13
78,71,90,19,20,9,77,8
20,99,54,4,33,41,57,54
33,62,28,46,79,70,70,91
89,3,75,50,53,31,37,26
6,86,5,94,49,42,82,18
69,34,100,35,93,92,43,81
37,39,56,58,27,22,96,31
92,26,73,2,74,1,44,74
89,1,26,6,15,82,9,8
98,41,86,0,19,47,58,47
22,57,97,24,16,82,68,3
6,92,92,58,89,14,42,7
83,58,35,99,58,67,67,92
62,70,62,75,100,79,76,59
58,59,16,57,84,3,94,75
17,36,5,62,10,82,64,24
29,39,84,4,2,78,90,98
43,92,63,51,71,19,44,59
2,36,35,54,62,44,15,35
57,82,17,69,55,53,27,22
36,60,43,55,78,97,73,93
98,55,16,95,54,97,54,69
56,81,66,24,14,83,27,77
59,3,64,36,91,60,97,76
73,17,7,82,18,72,71,1
94,48,48,87,99,10,75,53
70,74,13,37,17,71,97,28
11,18,59,94,77,16,95,74
75,53,67,8,54,77,82,0
29,56,66,16,72,59,36,5
30,95,49,56,96,51,100,14
67,70,74,41,0,88,95,49
26,41,8,61,76,93,85,97
77,74,50,48,90,90,39,33
90,6,48,42,13,93,37,84
62,41,73,60,50,45,42,76
28,61,82,66,31,80,62,32
41,65,19,86,79,8,86,21
29,5,89,13,27,83,1,32
6,80,73,81,94,92,67,5
26,36,36,25,30,96,4,87
6,65,91,60,70,72,39,82
43,61,70,6,46,85,68,76
46,12,64,61,96,82,88,61
98,44,92,25,95,55,11,20
19,32,17,17,88,96,91,77
37,49,33,53,13,16,3,93
17,71,3,81,81,96,30,18
18,29,25,96,91,94,8,40
65,46,59,12,20,31,93,67
43,27,41,13,38,96,61,5
30,24,91,49,75,42,72,61
11,65,62,81,8,90,76,3
87,28,66,84,71,52,42,1
86,72,66,44,86,32,88,16
78,13,12,65,14,67,97,65
66,6,38,86,23,47,45,26
72,37,9,74,36,100,73,25
56,86,52,13,37,28,70,81
36,80,40,37,84,83,84,28
31,3,51,49,24,40,97,40
6,7,29,97,37,29,80,11
55,23,99,9,89,88,91,11
64,76,61,47,54,20,11,94
13,13,40,62,28,88,94,40
38,23,36,10,16,82,27,68
87,52,58,79,12,44,91,0
85,9,46,56,92,91,31,6
93,91,33,34,3,11,11,55
93,8,6,67,80,94,9,19
4,59,44,51,4,77,18,57
83,54,18,89,1,36,45,48
38,27,40,71,12,86,90,69
66,50,43,10,31,18,45,83
68,13,12,68,73,64,11,38
91,84,70,44,80,14,1,96
0,45,42,42,28,68,1,13
41,42,27,3,42,27,50,55
36,3,44,90,55,71,26,68
66,6,76,30,50,3,40,13
97,57,4,47,53,28,69,48
97,46,2,12,60,39,57,68
5,54,70,65,95,62,81,41
0,8,50,54,91,95,24,81
59,36,68,84,22,23,14,2
97,13,4,76,10,87,86,97
56,2,88,66,32,93,84,77
78,33,28,64,21,92,33,39
11,69,96,38,99,29,90,18
42,65,94,5,82,51,57,59
70,27,39,22,76,41,23,8
63,66,96,91,59,21,87,50
62,78,80,31,38,35,83,30
31,41,0,73,85,63,10,26
34,29,33,72,70,3,31,31
28,89,13,77,6,13,82,31
38,39,10,46,80,56,63,63
14,34,78,98,17,12,68,65
38,34,54,44,97,16,50,64
76,43,9,29,7,72,20,24
26,74,98,29,85,3,22,1
81,73,17,48,54,96,21,68
77,60,89,50,66,63,6,50
22,80,54,70,47,57,58,82
80,43,52,4,79,87,49,37
22,21,53,97,32,7,74,28
57,7,16,5,95,9,14,45
30,14,64,40,31,16,15,88
2,67,56,91,61,44,40,54
72,19,97,29,80,52,90,64
45,58,90,63,10,54,15,96
77,84,51,85,75,98,10,61
54,68,9,78,65,86,8,87
26,23,16,87,66,91,85,98
9,73,26,80,60,41,46,76
96,42,47,88,86,5,94,48
98,56,34,64,70,81,2,97
34,1,14,91,13,68,92,80
8,15,14,36,36,83,68,66
44,81,52,26,20,88,62,25
36,32,54,31,59,80,32,38
61,92,90,89,12,56,53,71
83,91,19,84,66,30,33,81
36,25,78,58,50,55,8,82
78,0,100,9,20,50,10,88
52,22,82,12,69,65,1,29
62,32,54,65,72,11,85,82
95,79,89,99,86,98,26,55
36,76,78,78,0,42,52,91
92,98,95,67,77,61,18,42
2,87,13,42,48,11,1,37
30,85,85,70,49,34,0,23
67,15,96,17,82,5,99,40
12,34,35,46,49,77,96,41
26,81,16,51,4,93,11,1
86,36,55,87,61,24,53,45
17,10,38,62,71,52,49,25
17,46,37,43,54,92,3,12
92,20,72,13,44,88,97,67
17,9,56,14,69,61,65,38
58,59,23,77,78,55,65,47
40,6,68,27,39,38,41,21
46,56,2,93,29,41,16,74
27,47,69,19,51,9,31,72
27,47,58,99,94,37,12,63
2,3,6,0,94,45,63,4
9,52,35,11,52,18,27,71
53,78,62,6,95,15,35,66
23,80,34,0,7,29,3,99
85,78,64,17,72,81,91,46
50,41,92,69,65,47,52,91
40,71,75,42,18,27,27,96
23,41,52,27,49,78,44,18
92,5,31,83,44,80,25,42
100,43,76,89,27,12,93,74
73,98,77,39,50,58,33,26
10,42,70,11,40,69,35,73
66,38,42,21,82,3,27,6
0,82,63,97,25,90,87,22
89,22,72,64,96,0,50,47
27,38,11,83,45,42,85,76
75,91,54,54,84,68,92,70
76,25,21,75,43,55,81,94
31,20,22,37,28,74,75,58
98,47,21,96,96,81,26,41
24,28,86,69,6,94,31,16
94,62,26,16,51,68,90,94
13,42,50,34,95,2,2,37
86,56,83,8,31,86,100,25
58,92,14,7,5,50,84,55
36,89,74,24,36,10,99,11
70,77,5,43,34,94,55,57
98,98,48,31,63,30,54,70
70,14,74,71,22,50,89,90
96,70,99,31,79,47,45,78
27,88,93,41,75,57,35,26
84,76,13,23,69,63,88,28
57,77,58,69,70,51,38,82
23,71,28,39,56,95,100,77
14,22,20,48,9,86,2,20
75,47,100,18,39,73,60,69
25,64,81,18,12,18,89,61
59,96,3,42,99,19,75,17
72,22,41,40,93,31,8,14
13,4,76,34,11,99,22,0
74,53,54,28,81,60,53,86
44,43,61,56,25,5,51,54
63,97,82,75,95,96,82,63
73,99,76,30,61,33,18,89
16,62,3,19,26,82,18,31
34,6,73,22,96,29,98,89
28,12,69,7,62,8,86,29
53,45,96,17,90,57,64,48
2,92,3,36,29,35,76,0
67,16,40,88,51,84,84,62
51,87,0,0,11,1,97,16
22,99,11,38,36,16,95,17
40,5,55,66,70,34,15,47
9,79,70,64,82,25,69,39
81,71,0,27,58,15,57,28
82,62,2,59,72,92,65,63
49,18,58,44,86,50,86,51
18,42,11,88,72,78,34,43
34,28,17,82,87,35,1,20
31,52,33,15,91,61,91,13
37,69,96,90,76,14,2,46
3,33,2,57,93,12,88,66
54,75,21,43,46,10,3,18
93,45,9,36,92,56,8,94
47,4,19,89,40,12,19,31
45,43,69,44,92,25,75,35
41,78,90,44,69,56,59,97
22,37,34,64,87,49,83,79
60,16,10,18,84,27,25,63
98,26,16,59,34,48,29,38
25,30,52,96,14,14,30,83
50,45,1,99,41,20,40,61
13,57,40,6,40,36,40,93
76,67,88,14,85,53,45,13
67,51,34,75,81,30,88,51
54,35,81,21,72,50,32,34
21,20,86,50,17,8,31,74
23,7,57,63,97,41,71,75
36,82,14,22,99,60,24,46
59,2,46,12,13,1,85,64
27,0,24,84,75,88,47,19
72,48,3,54,19,99,31,39
93,82,22,41,15,65,70,34
45,32,80,80,41,69,9,22
94,19,84,55,22,86,35,31
99,57,46,97,70,3,17,93
11,82,66,98,60,82,54,40
0,62,74,16,8,35,86,49
20,88,15,45,6,5,20,67
62,66,53,71,22,71,80,57
64,67,3,50,63,12,73,25
48,66,99,94,61,24,88,67
31,28,16,96,0,15,70,57
100,21,4,44,26,59,77,32
20,71,3,73,89,57,88,30
21,54,46,87,29,95,14,7
66,97,9,79,72,63,55,1
64,25,66,96,85,33,28,32
97,50,29,66,8,62,52,86
100,25,69,83,40,79,22,20
37,9,90,14,56,46,42,65
88,28,22,53,2,24,83,77
92,66,25,65,14,59,15,70
43,2,74,81,68,50,49,46
86,28,68,67,13,35,14,13
13,75,20,70,76,83,6,57
2,79,97,69,0,30,41,100
33,16,44,36,82,93,60,90
42,44,17,72,19,68,13,27
47,65,7,91,73,50,0,65
68,80,36,26,22,21,26,97
65,12,4,23,60,10,69,28
13,18,86,5,78,75,35,11
50,80,71,49,7,81,56,9
96,39,22,28,86,32,31,20
32,5,0,11,94,19,26,21
77,62,35,36,59,14,60,84
5,8,64,48,38,69,63,20
8,7,58,24,98,24,37,13
29,99,93,22,55,94,23,2
58,48,30,44,87,86,69,46
15,18,95,79,69,50,70,76
26,56,47,31,79,53,94,60
0,29,55,9,7,54,48,44
93,14,4,53,58,56,47,28
58,16,54,44,56,96,12,30
26,53,70,10,69,83,89,86
47,59,100,13,45,28,24,35
39,57,86,40,41,47,51,59
30,78,15,11,30,6,38,22
81,80,43,22,39,2,84,6
58,34,95,47,18,41,98,56
94,36,55,47,68,80,74,92
16,84,100,26,73,90,22,14
19,53,7,70,10,0,20,18
39,42,61,60,96,87,50,99
29,5,98,26,73,77,3,91
57,12,40,86,42,84,35,10
39,7,23,87,27,47,57,37
75,79,46,49,78,97,30,14
74,75,43,3,73,4,45,9
29,59,34,16,75,62,66,67
3,77,3,14,59,69,84,91
11,89,44,60,71,67,72,35
9,74,48,39,59,41,51,15
26,68,80,74,24,84,52,25
24,55,20,50,72,82,37,86
50,93,13,2,99,65,11,51
2,51,48,46,69,54,9,99
42,3,39,40,82,7,59,40
40,11,85,33,77,43,6,15
23,54,13,62,68,76,6,13
3,93,40,26,87,25,41,18
12,8,50,71,43,86,59,88
77,29,100,81,6,100,86,29
60,39,19,57,32,89,92,55
99,17,57,34,4,65,65,76
41,46,23,49,26,69,51,51
64,4,52,90,32,58,37,79
83,41,62,18,67,68,41,65
22,26,74,55,64,27,64,41
27,70,2,47,54,83,69,66
98,29,41,36,65,61,84,24
7,34,19,96,72,76,69,37
33,29,91,8,84,46,91,86
48,91,60,47,54,13,56,44
53,31,32,15,1,53,47,39
27,28,47,70,66,84,7,4
18,41,10,48,21,68,6,39
36,94,32,41,13,37,58,65
71,72,77,44,7,16,86,87
32,30,38,20,9,19,97,5
57,42,7,67,75,84,73,60
90,38,94,46,23,73,69,9
0,15,80,58,24,51,33,30
60,91,5,61,0,42,39,88
13,27,98,16,7,30,25,74
77,74,41,30,21,13,36,34
74,65,95,27,89,57,100,78
43,29,67,51,61,68,35,79
57,25,76,82,12,9,99,49
37,56,57,84,97,13,16,61
75,6,55,71,61,26,1,73
52,40,6,13,11,70,63,92
44,26,67,70,11,31,19,0
68,62,26,10,94,70,48,73
18,79,37,92,19,32,96,42
86,74,53,24,90,60,13,65
85,95,22,55,85,66,71,9
44,78,60,6,22,41,26,33
30,8,52,17,37,98,48,88
52,39,1,55,67,98,25,49
12,85,71,12,72,28,88,99
58,26,42,4,30,45,66,37
0,77,23,4,21,41,5,44
51,64,41,81,82,62,86,1
44,92,88,61,2,94,26,97
89,16,84,58,85,11,40,0
97,60,58,16,23,17,46,68
78,30,81,83,33,43,33,96
24,70,18,6,5,20,99,29
94,83,65,70,6,26,67,7
18,74,88,49,51,2,75,15
39,18,42,76,60,4,7,73
86,96,20,61,100,24,25,80
54,48,46,79,22,67,65,67
95,9,11,30,40,95,37,54
23,83,99,56,93,77,73,18
14,0,74,28,66,42,3,48
86,32,76,65,55,17,49,12
61,69,98,98,90,12,28,83
18,68,48,9,33,80,25,75
64,58,84,54,32,90,6,12
63,12,33,86,53,43,97,90
55,35,80,29,65,66,86,27
20,16,41,56,95,21,71,38
81,82,30,64,92,96,23,9
12,16,83,21,77,73,32,97
81,86,50,74,30,17,4,26
29,79,84,83,38,45,8,12
45,26,49,44,14,47,64,49
13,62,32,22,59,37,34,64
41,47,93,98,40,100,2,1
79,90,12,52,66,88,37,82
76,50,73,17,95,14,33,37
39,43,0,59,4,64,19,77
5,14,33,21,33,98,30,75
56,57,69,9,63,42,29,38
96,60,81,18,52,11,84,3
78,27,3,77,93,92,97,15
63,76,27,14,91,65,90,34
66,11,85,35,23,88,12,82
30,99,98,37,75,37,36,41
79,62,29,18,34,52,28,9
2,12,93,2,4,55,80,79
63,12,96,54,38,43,21,27
43,66,38,21,21,71,86,63
74,62,8,76,84,1,75,92
18,56,71,64,13,24,86,31
88,86,52,68,19,84,74,5
14,59,46,82,91,89,76,3
39,95,27,21,7,22,52,6
59,31,24,38,88,23,45,41
36,41,30,9,38,16,4,65
27,62,86,9,9,17,83,15
11,65,21,77,88,85,95,52
79,2,46,78,82,86,31,57
51,54,46,99,14,68,16,98
53,82,37,76,38,77,10,28
55,52,59,17,29,55,71,57
80,6,96,2,52,48,55,39
12,33,50,12,71,40,34,80
8,84,79,8,0,55,40,50
68,77,76,44,60,56,10,3
17,34,53,17,38,15,29,100
2,71,88,72,92,89,94,66
60,54,77,51,25,70,2,99
64,100,99,73,61,47,72,19
21,72,28,53,67,70,20,80
84,21,32,36,38,52,99,34
31,85,41,60,99,97,17,27
51,65,81,98,94,20,77,54
34,34,74,10,71,85,37,87
3,43,61,100,79,84,67,59
11,41,78,18,70,80,24,32
58,73,2,56,43,13,22,12
84,92,58,55,38,24,97,70
34,11,41,64,44,73,48,14
54,10,68,16,47,47,54,71
71,68,27,19,84,23,26,49
21,63,69,38,51,3,82,13
54,31,65,30,47,51,35,97
33,56,49,21,60,69,26,15
69,63,94,83,72,12,38,27
92,0,16,59,44,8,94,11
88,62,72,42,100,28,53,52
12,51,99,81,57,30,9,4
74,65,97,68,27,47,71,99
30,90,94,35,72,60,7,40
16,20,100,62,16,95,19,89
59,24,23,21,83,21,2,69
40,8,78,57,50,74,94,50
14,97,74,90,16,61,57,80
14,23,18,96,44,80,60,8
58,71,72,35,11,50,92,34
42,68,28,57,100,79,5,84
89,13,100,25,13,68,42,55
91,26,86,56,77,36,36,58
96,68,35,80,6,82,67,41
43,70,25,99,62,56,74,46
69,54,82,26,44,24,78,44
47,87,55,87,90,76,45,54
97,65,64,20,11,60,14,20
88,96,34,45,10,70,92,58
95,84,3,17,73,27,81,51
86,31,5,85,52,34,21,40
28,34,7,76,11,70,9,47
47,26,10,100,14,78,83,82
2,17,13,16,74,91,6,3
47,12,82,51,43,68,27,43
89,74,17,5,96,75,14,16
96,26,16,52,40,24,75,52
86,84,33,55,10,69,65,1
100,5,49,82,53,44,25,86
47,82,27,83,15,89,73,33
88,64,61,58,88,28,78,89
65,90,97,50,80,34,85,18
56,84,60,74,45,67,58,99
76,11,43,16,52,40,7,86
45,10,80,11,66,89,16,64
41,78,79,29,41,46,7,44
95,60,44,77,2,58,46,67
46,11,66,23,39,73,40,6
92,1,45,40,82,6,50,2
16,16,12,37,88,25,16,80
25,66,18,41,14,73,36,3
36,59,23,39,64,39,36,9
83,47,60,65,54,59,10,3
33,29,53,14,24,56,11,35
9,0,45,14,39,48,86,13
99,22,85,58,72,50,100,71
26,40,73,34,47,90,75,49
27,8,34,56,100,85,41,39
65,54,87,98,97,98,63,30
53,100,97,49,65,32,11,1
71,63,38,72,10,90,91,52
66,35,88,14,28,78,40,62
56,38,40,74,85,5,58,26
41,39,90,1,32,34,94,78
27,27,89,16,17,84,85,96
86,70,30,84,36,32,33,56
77,45,10,55,12,87,47,89
88,81,18,2,79,90,72,53
46,34,10,66,63,63,21,60
77,90,15,74,7,72,50,98
39,76,9,15,1,60,35,3
51,65,41,68,74,5,27,65
73,81,1,2,61,41,69,18
19,80,5,83,58,40,21,6
2,64,36,74,62,88,36,98
44,77,12,12,69,1,98,52
49,34,40,40,71,55,1,84
49,16,44,56,24,4,95,100
28,88,71,91,75,12,99,6
99,70,27,51,34,82,14,40
27,13,62,63,60,23,32,5
14,62,80,19,70,99,98,57
78,92,38,99,91,40,93,46
92,39,76,0,85,89,23,19
38,14,46,4,61,22,19,70
48,38,13,48,47,63,65,67
15,64,19,92,45,80,73,97
17,1,32,75,99,11,97,78
30,71,50,74,63,4,29,33
20,64,1,43,17,12,94,86
91,4,12,53,64,60,39,88
45,55,71,81,67,34,58,46
5,8,58,7,18,53,57,85
89,42,3,6,82,94,54,8
89,38,40,21,10,74,82,52
12,40,9,72,24,92,32,57
3,11,36,50,89,60,96,65
2,40,11,40,8,93,39,4
63,56,60,68,83,56,29,62
51,0,79,59,35,44,62,35
12,66,34,55,0,47,64,94
90,65,56,97,68,31,72,76
63,82,2,42,51,24,60,75
5,7,73,56,13,32,0,73
79,56,87,99,57,40,56,43
75,49,49,60,10,58,61,7
13,60,70,33,73,47,27,65
81,89,40,76,58,22,91,20
77,59,4,57,31,18,18,4
89,100,61,92,80,77,17,33
23,68,91,51,79,13,90,37
87,70,15,92,48,85,45,3
100,4,51,74,84,14,37,26
26,88,55,51,55,18,47,58
23,61,2,72,91,83,98,25
17,78,23,34,16,29,99,61
86,41,83,96,96,63,48,30
23,24,38,55,3,21,47,74
35,95,50,94,80,65,13,3
91,57,41,19,44,87,90,82
71,76,15,52,95,96,62,45
98,89,71,78,79,26,49,10
